CODBARRAS;CATEGORIA;NOME PRODUTO;FAMILIA;COD SFA
7896380600649;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PETROLEO;COLORAÇÃO;4000
789638060064;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PETROLEO;COLORAÇÃO;4000
7896380602155;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO JABUTICABA;COLORAÇÃO;4001
789638060215;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO JABUTICABA;COLORAÇÃO;4001
7896380600656;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CHOCOLATE;COLORAÇÃO;4002
789638060065;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CHOCOLATE;COLORAÇÃO;4002
7896380600397;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CASTANHA;COLORAÇÃO;4003
789638060039;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CASTANHA;COLORAÇÃO;4003
7896380602209;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PRATA;COLORAÇÃO;4004
789638060220;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PRATA;COLORAÇÃO;4004
7896380600687;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO GRAFITE;COLORAÇÃO;4005
789638060068;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO GRAFITE;COLORAÇÃO;4005
7896380605705;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO ICE;COLORAÇÃO;4006
789638060570;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO ICE;COLORAÇÃO;4006
7896380604142;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PLATINA;COLORAÇÃO;4007
789638060414;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PLATINA;COLORAÇÃO;4007
7896380600380;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PASTEL;COLORAÇÃO;4008
789638060038;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO PASTEL;COLORAÇÃO;4008
7896380601639;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO TRIGO;COLORAÇÃO;4009
789638060163;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO TRIGO;COLORAÇÃO;4009
7896380602162;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAFE;COLORAÇÃO;4010
789638060216;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAFE;COLORAÇÃO;4010
7896380604708;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAFE EXPRESSO;COLORAÇÃO;4011
789638060470;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAFE EXPRESSO;COLORAÇÃO;4011
7896380603596;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAPUCCINO;COLORAÇÃO;4013
789638060359;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CAPUCCINO;COLORAÇÃO;4013
7896380606986;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO AVELA;COLORAÇÃO;4014
789638060698;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO AVELA;COLORAÇÃO;4014
7896380606993;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO MOCACCINO;COLORAÇÃO;4015
789638060699;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO MOCACCINO;COLORAÇÃO;4015
7896380600663;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO CANELA;COLORAÇÃO;4016
7896380601103;COLORAÇÃO TEMPORÁRIA;KERATON B BRILHO COBRE;COLORAÇÃO;4017
